ScientificName,TaxonRank,AphiaID,Phylum,Class,Order,Family,Genus,IdentificationRemarks,IdentificationDate,IdentificationQualifier,IndividualCount,Size,OccurrenceRemarks,Substrate,Habitat,Temperature,Salinity,Oxygen,Ocean,FishCouncilRegion,Locality,Sub.Local.1,Sub.Local.2,Sub.Local.3,Sub.Local.4,Station,ObservationDate,ObservationYear,ObservationTime,Latitude,Longitude,DepthInMeters,MinimumDepthInMeters,MaximumDepthInMeters,SurveyID,EventID,SampleID,TrackingID,VARS_RecordType,Mega-Habitat,Habitat2
Conger oligoporus,Species,271746,Chordata,Actinopterygii,Anguilliformes,Congridae,Conger,NA,2018-11-27,ID by expert from video,12,NA,NA,NA,primarily: cemented bedrock / secondary: boulder; limestone bedrock / comments: cemented ash flow,12.5164,34.3039,6.2337,North Pacific Ocean,Western Pacific,United States Exclusive Economic Zone around Hawaiian Islands, Outside Boundary of Papahānaumokuākea Marine National Monument, Middle Bank, Cone,,D2-EX1708-20,2017-09-27,2017,01:33:49,22.754557,-160.93227,301.922,301.922,301.922,EX1708,D2-EX1708-20,EX1708_20_20170926T185500Z.m4v_06:38:49:28,5083585,fish,bank,cone
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,Tentative ID,2016-03-10,ID by expert from video,1,NA,NA,NA,primarily: basalt bedrock with manganese crust / secondary: sediment,4.3319,34.385,1.5317,North Pacific Ocean,Western Pacific,Hawaiian Archipelago, Swordfish Seamount,,,,D2-EX1504L3-05,2015-09-01,2015,23:18:53,18.308918,-158.45396,959.844,959.844,959.844,EX1504L3,D2-EX1504L3-05,EX1504L3_05_20150901T181522Z.mp4_05:03:31:21,107375,fish,ridge seamount,summit
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,Tentative ID,2016-03-14,ID by expert from video,1,NA,NA,NA,primarily: basalt boulder with manganese crust / secondary: sediment; basalt cobble with manganese crust; basalt bedrock with manganese crust,4.3286,34.4442,1.5381,North Pacific Ocean,Western Pacific,Hawaiian Archipelago, Swordfish Seamount,,,,D2-EX1504L3-05,2015-09-02,2015,00:23:21,18.30765,-158.45386,973.002,973.002,973.002,EX1504L3,D2-EX1504L3-05,EX1504L3_05_20150901T181522Z.mp4_06:07:58:57,107972,fish,ridge seamount,summit
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,NA,2016-03-15,ID by expert from video,1,NA,NA,NA,primarily: basalt cobble with manganese crust / secondary: sediment; basalt pebble with manganese crust; basalt boulder with manganese crust,4.2609,34.5034,1.5476,North Pacific Ocean,Western Pacific,Hawaiian Archipelago, Swordfish Seamount,,,,D2-EX1504L3-05,2015-09-02,2015,01:05:07,18.306818,-158.45409,1008.661,1008.661,1008.661,EX1504L3,D2-EX1504L3-05,EX1504L3_05_20150901T181522Z.mp4_06:49:45:00,108242,fish,ridge seamount,summit
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,Tentative ID,2016-03-21,ID by expert from video,1,0-10 cm,NA,basalt bedrock with manganese crust,primarily: basalt bedrock with manganese crust / secondary: sediment,1.9601,34.6375,3.0341,North Pacific Ocean,Western Pacific,Hawaiian Archipelago, Ellis Seamount,,,,D2-EX1504L3-06,2015-09-02,2015,21:24:29,19.22979,-157.61229,2118.874,2118.874,2118.874,EX1504L3,D2-EX1504L3-06,EX1504L3_06_20150902T182025Z.mp4_03:04:03:61,109162,fish,ridge seamount,ridge
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,Tentative ID,2016-03-25,ID by expert from video,1,NA,NA,NA,primarily: basalt boulder with manganese crust / secondary: sediment; basalt pebble with manganese crust; basalt cobble with manganese crust,2.0208,34.6339,2.9624,North Pacific Ocean,Western Pacific,Hawaiian Archipelago, Ellis Seamount,,,,D2-EX1504L3-06,2015-09-03,2015,00:05:06,19.22725,-157.61615,2096.134,2096.134,2096.134,EX1504L3,D2-EX1504L3-06,EX1504L3_06_20150902T182025Z.mp4_05:44:41:04,110473,fish,ridge seamount,ridge
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,Tentative ID; or Moridae; only tail visible,2018-11-20,ID by expert from video,1,NA,tucked in hole,NA,primarily: limestone bedrock / secondary: cemented bedrock / comments: cemented ash flow,8.529,34.0798,5.2415,North Pacific Ocean,Western Pacific,United States Exclusive Economic Zone around Hawaiian Islands, Outside Boundary of Papahānaumokuākea Marine National Monument, Middle Bank, Cone,,D2-EX1708-20,2017-09-26,2017,21:12:22,22.754278,-160.9293,431.335,431.335,431.335,EX1708,D2-EX1708-20,EX1708_20_20170926T185500Z.m4v_02:17:22:19,5082511,fish,bank,cone
Ilyophis arx,Species,126324,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,Ilyophis,NA,2016-03-18,ID by expert from video,1,30-50 cm,NA,NA,primarily: basalt bedrock with manganese crust / secondary: sediment,1.9587,34.6385,3.0343,North Pacific Ocean,Western Pacific,Hawaiian Archipelago, Ellis Seamount,,,,D2-EX1504L3-06,2015-09-02,2015,20:55:18,19.230413,-157.612,2113.991,2113.991,2113.991,EX1504L3,D2-EX1504L3-06,EX1504L3_06_20150902T182025Z.mp4_02:34:52:62,108936,fish,ridge seamount,ridge
Ilyophis sp.,Genus,125654,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,Ilyophis,NA,2016-04-05,ID by expert from video,1,NA,NA,NA,primarily: basalt bedrock with manganese crust / secondary: sediment; cobble; basalt cobble with manganese crust; boulder; basalt boulder with manganese crust; bedrock,4.0463,34.4108,1.6044,North Pacific Ocean,Western Pacific,Hawaiian Archipelago, Swordfish Seamount,,,,D2-EX1504L3-05,2015-09-01,2015,22:54:14,18.309011,-158.45422,969,969,969,EX1504L3,D2-EX1504L3-05,EX1504L3_05_20150901T181522Z.mp4_04:38:51:51,107212,fish,ridge seamount,summit
Ilyophis sp.,Genus,125654,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,Ilyophis,NA,2016-04-05,ID by expert from video,1,NA,NA,NA,primarily: basalt bedrock with manganese crust / secondary: sediment,4.2565,34.3966,1.5846,North Pacific Ocean,Western Pacific,Hawaiian Archipelago, Swordfish Seamount,,,,D2-EX1504L3-05,2015-09-01,2015,23:01:49,18.308868,-158.45406,962.382,962.382,962.382,EX1504L3,D2-EX1504L3-05,EX1504L3_05_20150901T181522Z.mp4_04:46:26:64,107272,fish,ridge seamount,summit
Ilyophinae,Subfamily,151826,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,NA,Tentative ID,2016-03-11,ID by expert from video,1,NA,NA,NA,primarily: basalt bedrock with manganese crust / secondary: sediment; cobble; basalt cobble with manganese crust; boulder; basalt boulder with manganese crust; bedrock,4.0213,34.4111,1.5737,North Pacific Ocean,Western Pacific,Hawaiian Archipelago, Swordfish Seamount,,,,D2-EX1504L3-05,2015-09-01,2015,22:40:39,18.309025,-158.45424,967.996,967.996,967.996,EX1504L3,D2-EX1504L3-05,EX1504L3_05_20150901T181522Z.mp4_04:25:17:05,107174,fish,ridge seamount,summit
Synaphobranchidae,Family,125436,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,NA,Tentative ID,2016-03-17,ID by expert from video,1,NA,NA,basalt boulder with manganese crust,primarily: sediment / secondary: basalt pebble with manganese crust; basalt cobble with manganese crust; basalt boulder with manganese crust,1.9693,34.6377,3.0993,North Pacific Ocean,Western Pacific,Hawaiian Archipelago, Ellis Seamount,,,,D2-EX1504L3-06,2015-09-02,2015,20:01:15,19.231174,-157.61166,2143.531,2143.531,2143.531,EX1504L3,D2-EX1504L3-06,EX1504L3_06_20150902T182025Z.mp4_01:40:50:43,108611,fish,ridge seamount,ridge
Synaphobranchidae,Family,125436,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,NA,NA,2018-11-21,ID by expert from video,1,NA,NA,NA,primarily: basalt bedrock with manganese crust / secondary: sediment pocket,2.3007,34.5904,2.4223,North Pacific Ocean,Western Pacific,United States Exclusive Economic Zone around Hawaiian Islands, South of Musicians Seamounts and North of Hawaiian Islands, Mendelsohn Seamount,,,D2-EX1708-19,2017-09-25,2017,23:13:07,25.160875,-161.64746,1657.72,1657.72,1657.72,EX1708,D2-EX1708-19,EX1708_19_20170925T193000Z.m4v_03:43:07:41,5082936,fish,tablemount,cone
Synaphobranchus brevidorsalis,Species,221388,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,Synaphobranchus,NA,2018-08-28,ID by expert from video,1,NA,NA,NA,primarily: basalt bedrock with manganese crust / secondary: sediment; basalt cobble with manganese crust; basalt boulder with manganese crust,2.3916,34.6015,2.5334,North Pacific Ocean,Western Pacific,United States Exclusive Economic Zone around Hawaiian Islands, 90 nautical miles north of Oahu, Tropic of Cancer Seamount (unofficial), Summit,,D2-EX1708-01,2017-09-07,2017,20:18:50,23.30642,-158.35724,1847.711,1847.711,1847.711,EX1708,D2-EX1708-01,EX1708_01_20170907T194500Z.m4v_00:33:49:71,5066721,fish,conical seamount,summit
