D2-EX1702-02,D2-EX1702-03,D2-EX1702-06,D2-EX1702-07,D2-EX1702-08,D2-EX1702-09,D2-EX1702-10,D2-EX1702-11,D2-EX1702-12,D2-EX1702-13,D2-EX1703-01,D2-EX1705-01
Acropomatidae,1,0,0,0,0,0,0,0,0,1,0,0
Alepocephalidae,0,1,0,0,0,0,0,0,0,0,0,0
Ariommatidae,0,0,0,0,0,1,0,0,0,0,0,0
Bembridae,0,0,0,0,0,0,1,0,0,0,0,0
Bramidae,2,0,0,0,0,0,0,0,0,0,0,0
Callanthiidae,1,0,0,0,0,0,1,0,0,13,0,9
Caproidae,3,0,0,0,0,0,2,0,0,0,0,0
Carangidae,0,0,0,0,0,0,0,0,0,2,0,0
Chaunacidae,2,0,0,0,0,0,0,0,0,0,0,0
Chlopsidae,2,0,0,0,0,0,0,0,0,0,0,0
Chlorophthalmidae,5,0,0,0,0,14,3,0,0,0,0,0
Congridae,0,0,0,0,0,11,1,0,0,0,3,0
Cynoglossidae,0,0,0,0,0,0,1,0,0,0,0,0
Epigonidae,6,0,0,0,0,0,20,0,0,155,0,0
Gempylidae,1,0,0,0,0,0,0,0,0,1,1,0
Gobiidae,0,0,0,0,0,0,0,0,0,0,0,1
Gonostomatidae,0,0,0,0,0,0,0,0,0,0,2,0
Halosauridae,0,1,4,1,0,0,0,3,0,0,4,0
Holocentridae,0,0,0,0,0,0,10,0,0,0,0,0
Labridae,0,0,0,0,0,0,2,0,0,0,0,0
Lophiidae,0,0,0,0,0,0,0,0,0,0,1,0
Lutjanidae,4,0,0,0,0,0,11,0,0,3,0,6
Macrouridae,0,0,0,0,0,0,5,0,1,0,3,0
Moridae,0,0,0,0,0,0,2,0,0,0,0,0
Myctophidae,0,0,0,0,0,4,0,0,0,0,0,0
Ophidiidae,0,0,3,0,1,0,1,0,0,0,3,0
Percophidae,0,0,0,0,0,0,0,0,0,4,0,1
Peristediidae,1,0,0,0,0,0,0,0,0,1,0,0
Scorpaenidae,3,0,0,0,0,0,3,0,0,2,0,0
Serranidae,9,0,0,0,0,0,3,0,0,19,0,3
Setarchidae,1,0,0,0,0,0,0,0,0,0,1,0
Sternoptychidae,1,0,0,0,0,0,0,0,0,0,0,0
Synaphobranchidae,0,0,0,0,0,0,0,0,0,0,1,0
Triacanthodidae,1,0,0,0,0,0,0,0,0,0,0,0
Zeniontidae,1,0,0,0,0,0,1,0,0,0,0,0
