ScientificName,TaxonRank,AphiaID,Phylum,Class,Order,Family,Genus,IdentificationRemarks,IdentificationDate,IdentificationQualifier,IndividualCount,Size,OccurrenceRemarks,Substrate,Habitat,Temperature,Salinity,Oxygen,Ocean,FishCouncilRegion,Locality,Sub.Local.1,Sub.Local.2,Sub.Local.3,Sub.Local.4,Station,ObservationDate,ObservationYear,ObservationTime,Latitude,Longitude,DepthInMeters,MinimumDepthInMeters,MaximumDepthInMeters,SurveyID,EventID,SampleID,TrackingID,VARS_RecordType,Mega-Habitat,Habitat2
Bathycongrus sp.,Genus,203953,Chordata,Actinopterygii,Anguilliformes,Congridae,Bathycongrus,Tentative ID,2018-11-28,ID by expert from video,1,NA,NA,NA,primarily: sediment / secondary: boulder; man-made fiber object; man-made object / comments: plastic bag; monofilament line,4.859,34.4264,1.3738,North Pacific Ocean,Western Pacific,Main Hawaiian Islands, Oahu Island, South,,,D2-EX1708-21,2017-09-29,2017,01:50:56,21.216017,-158.12268,791.894,791.894,791.894,EX1708,D2-EX1708-21,EX1708_21_20170928T190500Z.m4v_06:45:56:08,5084302,fish,island,flank
Gnathophis sp.,Genus,125625,Chordata,Actinopterygii,Anguilliformes,Congridae,Gnathophis,Tentative ID,2016-04-01,ID by expert from video,1,NA,buried in sediment; only head is visible,limestone bedrock,primarily: limestone bedrock / secondary: sediment; limestone pebble; limestone cobble,8.2935,34.2083,2.7007,North Pacific Ocean,Western Pacific,Main Hawaiian Islands, Hawaii Island, Keahole Pt,,,D2-EX1504L3-02,2015-08-29,2015,23:15:54,19.802725,-156.12675,387.493,387.493,387.493,EX1504L3,D2-EX1504L3-02,EX1504L3_02_20150829T190247Z.mp4_04:13:06:93,111427,fish,island,terrace
Congridae,Family,125427,Chordata,Actinopterygii,Anguilliformes,Congridae,NA,white fins; Tentative ID,2017-01-05,ID by expert from video,1,NA,first seen at 01:27:46:00,NA,primarily: limestone bedrock / secondary: sediment; mudstone bedrock,8.3773,34.1393,3.3962,North Pacific Ocean,Western Pacific,Main Hawaiian Islands, Oahu Island, South,,,D2-EX1504L4-01,2015-09-12,2015,23:42:57,21.24016,-158.01509,359.497,359.497,359.497,EX1504L4,D2-EX1504L4-01,EX1504L4_01_20150912T221443Z.mp4_01:28:14:46,5001954,fish,island,pinnacle
Congridae,Family,125427,Chordata,Actinopterygii,Anguilliformes,Congridae,NA,white fins; Tentative ID,2017-01-05,ID by expert from video,2,NA,NA,NA,primarily: limestone bedrock / secondary: mudstone bedrock,9.0554,34.105,4.0703,North Pacific Ocean,Western Pacific,Main Hawaiian Islands, Oahu Island, South,,,D2-EX1504L4-01,2015-09-13,2015,01:13:48,21.238926,-158.01892,316.863,316.863,316.863,EX1504L4,D2-EX1504L4-01,EX1504L4_01_20150912T221443Z.mp4_02:59:04:64,5002053,fish,island,pinnacle
Congridae,Family,125427,Chordata,Actinopterygii,Anguilliformes,Congridae,NA,white fins; Tentative ID; or Meadia abyssalis,2017-01-06,ID by expert from video,1,NA,NA,NA,primarily: limestone bedrock / secondary: mudstone bedrock,8.8915,34.1173,4.1398,North Pacific Ocean,Western Pacific,Main Hawaiian Islands, Oahu Island, South,,,D2-EX1504L4-01,2015-09-13,2015,01:19:44,21.239002,-158.01897,318.365,318.365,318.365,EX1504L4,D2-EX1504L4-01,EX1504L4_01_20150912T221443Z.mp4_03:05:01:33,5002093,fish,island,pinnacle
Congridae,Family,125427,Chordata,Actinopterygii,Anguilliformes,Congridae,NA,NA,2018-11-26,ID by expert from video,2,NA,NA,NA,primarily: sediment,4.7318,34.4318,1.3964,North Pacific Ocean,Western Pacific,Main Hawaiian Islands, Oahu Island, South,,,D2-EX1708-21,2017-09-28,2017,19:13:42,21.215769,-158.13385,844.44,844.44,844.44,EX1708,D2-EX1708-21,EX1708_21_20170928T190500Z.m4v_00:08:41:58,5083501,fish,island,flank
Congridae,Family,125427,Chordata,Actinopterygii,Anguilliformes,Congridae,NA,Tentative ID,2018-12-10,ID by expert from video,1,NA,NA,NA,primarily: sediment,4.7135,34.4315,1.3884,North Pacific Ocean,Western Pacific,Main Hawaiian Islands, Oahu Island, South,,,D2-EX1708-21,2017-09-28,2017,21:11:07,21.217768,-158.12685,798.476,798.476,798.476,EX1708,D2-EX1708-21,EX1708_21_20170928T190500Z.m4v_02:06:06:86,5083770,fish,island,flank
Congridae,Family,125427,Chordata,Actinopterygii,Anguilliformes,Congridae,NA,Tentative ID,2018-12-27,ID by expert from video,1,NA,NA,NA,primarily: sediment / secondary: cobble; boulder,4.7486,34.4417,1.386,North Pacific Ocean,Western Pacific,Main Hawaiian Islands, Oahu Island, South,,,D2-EX1708-21,2017-09-28,2017,22:32:24,21.217636,-158.12494,790.935,790.935,790.935,EX1708,D2-EX1708-21,EX1708_21_20170928T190500Z.m4v_03:27:24:03,5083940,fish,island,flank
Congridae,Family,125427,Chordata,Actinopterygii,Anguilliformes,Congridae,NA,NA,2018-11-28,ID by expert from video,1,NA,NA,NA,primarily: sediment / secondary: boulder,4.9112,34.4217,1.3655,North Pacific Ocean,Western Pacific,Main Hawaiian Islands, Oahu Island, South,,,D2-EX1708-21,2017-09-28,2017,23:54:33,21.217339,-158.12407,784.568,784.568,784.568,EX1708,D2-EX1708-21,EX1708_21_20170928T190500Z.m4v_04:49:32:60,5084094,fish,island,flank
Congridae,Family,125427,Chordata,Actinopterygii,Anguilliformes,Congridae,NA,Tentative ID,2018-11-28,ID by expert from video,1,NA,NA,NA,primarily: sediment,4.9225,34.4209,1.3579,North Pacific Ocean,Western Pacific,Main Hawaiian Islands, Oahu Island, South,,,D2-EX1708-21,2017-09-29,2017,00:07:32,21.217003,-158.12352,785.24,785.24,785.24,EX1708,D2-EX1708-21,EX1708_21_20170928T190500Z.m4v_05:02:32:36,5084117,fish,island,flank
