ScientificName,TaxonRank,Class,Order,Family,Subfamily,Genus,IndividualCount,Primary Habitat,secondary habitat,Temperature,Salinity,Oxygen,Ocean,Country,Main Locality,Locality 1,Locality 2,Locality 3,Locality 4,Station,ObservationDate,ObservationYear,ObservationTime,Latitude,Longitude,DepthInMeters,Mega-Habitat,Habitat2
Chlopsis sp.,Genus,Actinopterygii,Anguilliformes,Chlopsidae,NA,Chlopsis,1, pebble , cobble,8.3988,34.5645,4.203,South Pacific Ocean,USA,American Samoa, National Marine Sanctuary of American Samoa, Ta'u Unit, Southwest Ridge,,D2-EX1702-02,2017-02-17,2017,20:26:02,-14.29462500,-169.49889000,504.096,island,ridge
Chlopsis sp.,Genus,Actinopterygii,Anguilliformes,Chlopsidae,NA,Chlopsis,1, limestone bedrock , sediment; limestone boulder,6.6772,34.5626,2.1922,North Pacific Ocean,USA,Howland & Baker Unit of the Pacific Remote Islands Marine National Monument, Baker Island, Northwest Ridge,,,D2-EX1703-08,2017-03-15,2017,21:24:34,0.21240489,-176.48593000,677.055,island,flank
Chlopsis sp.,Genus,Actinopterygii,Anguilliformes,Chlopsidae,NA,Chlopsis,1, limestone bedrock , sediment-covered limestone bedrock,8.4525,34.6281,2.4741,South Pacific Ocean,USA,Jarvis Island Unit of the Pacific Remote Islands Marine National Monument, Jarvis Island, Southeastern Slope, Ridge,,D2-EX1705-05,2017-05-06,2017,01:35:51,-0.39369452,-159.96515000,446.076,island,ridge
Chlopsis sp.,Genus,Actinopterygii,Anguilliformes,Chlopsidae,NA,Chlopsis,1, limestone bedrock , sediment-covered limestone bedrock,8.5765,34.6365,2.4322,South Pacific Ocean,USA,Jarvis Island Unit of the Pacific Remote Islands Marine National Monument, Jarvis Island, Southeastern Slope, Ridge,,D2-EX1705-05,2017-05-06,2017,01:48:10,-0.39347634,-159.96521000,435.764,island,ridge
Chlopsis sp.,Genus,Actinopterygii,Anguilliformes,Chlopsidae,NA,Chlopsis,1, sediment , limestone cobble; limestone boulder; limestone bedrock,9.3829,34.6626,1.0464,North Pacific Ocean,USA,Kingman Reef and Palmyra Atoll Unit of the Pacific Remote Islands Marine National Monument, Palmyra Atoll, Southern Slope,,,D2-EX1705-10,2017-05-12,2017,00:20:35,5.85749900,-162.13303000,359.258,atoll,flank
Chlopsidae,Family,Actinopterygii,Anguilliformes,Chlopsidae,NA,NA,1, cemented bedrock , boulder,10.0716,34.6651,3.8883,South Pacific Ocean,USA,American Samoa, National Marine Sanctuary of American Samoa, Ta'u Unit, Southwest Ridge,,D2-EX1702-02,2017-02-17,2017,21:50:21,-14.29364700,-169.49982000,450.553,island,ridge
Bathycongrus sp.,Genus,Actinopterygii,Anguilliformes,Congridae,Congrinae,Bathycongrus,1, sediment , limestone pebble; limestone cobble; limestone boulder; bedrock,4.9356,34.3945,1.7935,North Pacific Ocean,USA,Wake Island Unit of the Pacific Remote Islands Marine National Monument, Wake Island, North,,,D2-EX1606-08,2016-08-10,2016,02:55:10,19.33070600,166.60323000,800.117,island,flank
Bathycongrus sp.,Genus,Actinopterygii,Anguilliformes,Congridae,Congrinae,Bathycongrus,1, limestone bedrock , sediment,5.0407,34.3788,1.7606,North Pacific Ocean,USA,Wake Island Unit of the Pacific Remote Islands Marine National Monument, Wake Island, North,,,D2-EX1606-08,2016-08-10,2016,03:10:05,19.33059000,166.60364000,771.162,island,flank
Bathycongrus sp.,Genus,Actinopterygii,Anguilliformes,Congridae,Congrinae,Bathycongrus,1, pillow lava formation of basalt bedrock , sediment,5.7115,34.4445,4.8904,South Pacific Ocean,USA,American Samoa, National Marine Sanctuary of American Samoa, Muliāva Unit, Vailulu'u Seamount, Crater,D2-EX1702-09,2017-02-24,2017,23:13:02,-14.21465500,-169.06013000,707.607,seamount,crater
Bathycongrus sp.,Genus,Actinopterygii,Anguilliformes,Congridae,Congrinae,Bathycongrus,2, pillow lava formation of basalt bedrock , sediment,5.6519,34.446,4.8625,South Pacific Ocean,USA,American Samoa, National Marine Sanctuary of American Samoa, Muliāva Unit, Vailulu'u Seamount, Crater,D2-EX1702-09,2017-02-24,2017,23:47:49,-14.21458800,-169.06040000,705.897,seamount,crater
