ScientificName,TaxonRank,AphiaID,Phylum,Class,Order,Family,Genus,IdentificationRemarks,IdentificationDate,IdentificationQualifier,IndividualCount,Size,OccurrenceRemarks,Substrate,Habitat,Temperature,Salinity,Oxygen,Ocean,FishCouncilRegion,Locality,Sub.Local.1,Sub.Local.2,Sub.Local.3,Sub.Local.4,Station,ObservationDate,ObservationYear,ObservationTime,Latitude,Longitude,DepthInMeters,MinimumDepthInMeters,MaximumDepthInMeters,SurveyID,EventID,SampleID,TrackingID,VARS_RecordType,Mega-Habitat,Habitat2
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,Tentative ID,2016-11-20,ID by expert from video,1,NA,NA,NA,primarily: pebble with manganese crust / secondary: sediment; cobble with manganese crust,3.1273,34.4628,1.1668,North Pacific Ocean,Western Pacific,Northwestern Hawaiian Islands, south of Pearl and Hermes Atoll, Bank 9, South,,D2-EX1504L2-08,2015-08-10,2015,00:55:15,26.828487,-175.60754,1167.671,1167.671,1167.671,EX1504L2,D2-EX1504L2-08,EX1504L2_08_20150809T194638Z.mp4_05:08:37:02,128662,fish,tablemount,cone
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,Tentative ID,2016-11-20,ID by expert from video,1,NA,NA,NA,primarily: pebble with manganese crust / secondary: sediment; cobble with manganese crust,3.1378,34.4612,1.1485,North Pacific Ocean,Western Pacific,Northwestern Hawaiian Islands, south of Pearl and Hermes Atoll, Bank 9, South,,D2-EX1504L2-08,2015-08-10,2015,00:55:41,26.828491,-175.60753,1167.524,1167.524,1167.524,EX1504L2,D2-EX1504L2-08,EX1504L2_08_20150809T194638Z.mp4_05:09:02:75,128665,fish,tablemount,cone
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,NA,2016-11-20,ID by expert from video,1,NA,NA,NA,primarily: cobble with manganese crust / secondary: sediment; pebble with manganese crust; pillow lava formation of basalt bedrock with manganese crust,3.1374,34.4644,1.1797,North Pacific Ocean,Western Pacific,Northwestern Hawaiian Islands, south of Pearl and Hermes Atoll, Bank 9, South,,D2-EX1504L2-08,2015-08-10,2015,01:13:03,26.828484,-175.60747,1169.151,1169.151,1169.151,EX1504L2,D2-EX1504L2-08,EX1504L2_08_20150809T194638Z.mp4_05:26:24:68,128680,fish,tablemount,cone
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,NA,2016-11-20,ID by expert from video,1,NA,NA,NA,primarily: pillow lava formation of basalt bedrock with manganese crust / secondary: sediment pocket,3.2836,34.4359,1.0518,North Pacific Ocean,Western Pacific,Northwestern Hawaiian Islands, south of Pearl and Hermes Atoll, Bank 9, South,,D2-EX1504L2-08,2015-08-10,2015,01:58:02,26.829424,-175.60707,1116.969,1116.969,1116.969,EX1504L2,D2-EX1504L2-08,EX1504L2_08_20150809T194638Z.mp4_06:11:23:81,128746,fish,tablemount,cone
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,NA,2016-11-21,ID by expert from video,1,NA,NA,NA,primarily: pillow lava formation of basalt bedrock with manganese crust / secondary: sediment pocket; cobble with manganese crust,3.324,34.426,1.0101,North Pacific Ocean,Western Pacific,Northwestern Hawaiian Islands, south of Pearl and Hermes Atoll, Bank 9, South,,D2-EX1504L2-08,2015-08-10,2015,03:09:07,26.830486,-175.60753,1103.36,1103.36,1103.36,EX1504L2,D2-EX1504L2-08,EX1504L2_08_20150809T194638Z.mp4_07:22:28:94,128806,fish,tablemount,cone
Anguilliformes,Order,10295,Chordata,Actinopterygii,Anguilliformes,NA,NA,NA,2016-11-12,ID by expert from video,1,NA,NA,NA,primarily: sediment-covered limestone bedrock with manganese crust / secondary: sediment pocket,2.5848,34.5682,2.1959,North Pacific Ocean,Western Pacific,Northwestern Hawaiian Islands, Gardner Pinnacles, North Reef Terrace,,,D2-EX1504L2-16,2015-08-17,2015,19:50:59,25.6387,-168.85036,1550.686,1550.686,1550.686,EX1504L2,D2-EX1504L2-16,EX1504L2_16_20150817T180819Z.mp4_01:42:40:09,127097,fish,bank,terrace
Nemichthyidae,Family,125432,Chordata,Actinopterygii,Anguilliformes,Nemichthyidae,NA,Tentative ID,2016-11-25,ID by expert from video,1,NA,NA,NA,primarily: bedrock with manganese crust / secondary: sediment; cobble with manganese crust; boulder with manganese crust,2.7275,34.5221,1.576,North Pacific Ocean,Western Pacific,Northwestern Hawaiian Islands, south of Pearl and Hermes Atoll, Bank 9, South,,D2-EX1504L2-08,2015-08-09,2015,20:48:40,26.822054,-175.60655,1381.104,1381.104,1381.104,EX1504L2,D2-EX1504L2-08,EX1504L2_08_20150809T194638Z.mp4_01:02:01:66,128182,fish,tablemount,flank
Nettastoma parviceps,Species,217557,Chordata,Actinopterygii,Anguilliformes,Nettastomatidae,Nettastoma,NA,2017-03-10,ID by expert from video,2,30-50 cm,NA,NA,primarily: Cnidaria (dead) / secondary: sediment; cemented bedrock / comments: coral rubble looks like scleractinian Enallopsammia sp.,4.9039,34.1228,2.225,North Pacific Ocean,Western Pacific,Northwestern Hawaiian Islands, Unnamed Seamount West of Salmon Bank,,,,D2-EX1603-06,2016-03-10,2016,02:31:16,27.000727,-176.842,708.046,708.046,708.046,EX1603,D2-EX1603-06,EX1603_06_20160309T182237Z.mp4_08:08:38:91,5010142,fish,seamount,summit
Venefica tentaculata,Species,271922,Chordata,Actinopterygii,Anguilliformes,Nettastomatidae,Venefica,NA,2016-11-18,ID by expert from video,1,50-100 cm,NA,NA,primarily: sediment-covered limestone bedrock with manganese crust,2.6411,34.5613,2.1224,North Pacific Ocean,Western Pacific,Northwestern Hawaiian Islands, Gardner Pinnacles, North Reef Terrace,,,D2-EX1504L2-16,2015-08-17,2015,20:49:46,25.63952,-168.85101,1469.683,1469.683,1469.683,EX1504L2,D2-EX1504L2-16,EX1504L2_16_20150817T180819Z.mp4_02:41:27:49,127191,fish,bank,terrace
Ilyophis blachei,Species,126325,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,Ilyophis,Tentative ID,2017-03-16,ID by expert from video,1,NA,in water column,NA,primarily: pillow lava formation of basalt bedrock with manganese crust / secondary: sediment; basalt boulder with manganese crust,1.6812,34.6519,3.5371,North Pacific Ocean,Western Pacific,Northwestern Hawaiian Islands, Pioneer Bank, South Ridge,,,D2-EX1603-03,2016-03-02,2016,23:34:48,25.428072,-173.54295,2324.647,2324.647,2324.647,EX1603,D2-EX1603-03,EX1603_03_20160302T184419Z.mp4_04:50:28:67,5005917,fish,bank,ridge
